PassengerId,HomePlanet,Cabin,Destination,Group,GroupNumber,Deck,Number,Side,Set,LastName,GroupSize
0039_01,Earth,G/1/P,55 Cancri e,0039,01,G,1.0,P,Train,Batthewitt,1
0040_01,Europa,D/2/P,TRAPPIST-1e,0040,01,D,2.0,P,Test,Pinoffent,2
0040_02,Europa,D/2/P,TRAPPIST-1e,0040,02,D,2.0,P,Test,Pinoffent,2
0041_01,Earth,G/2/P,TRAPPIST-1e,0041,01,G,2.0,P,Train,Moodsey,1
0042_01,Mars,E/0/P,TRAPPIST-1e,0042,01,E,0.0,P,Test,Frité,1
0043_01,Europa,B/3/P,TRAPPIST-1e,0043,01,B,3.0,P,Train,Cylistrand,1
0044_01,Earth,G/3/P,TRAPPIST-1e,0044,01,G,3.0,P,Train,Coopelandez,3
0044_02,Earth,G/3/P,55 Cancri e,0044,02,G,3.0,P,Train,Coopelandez,3
0044_03,Earth,G/3/P,PSO J318.5-22,0044,03,G,3.0,P,Train,Coopelandez,3
0045_01,Mars,F/10/P,TRAPPIST-1e,0045,01,F,10.0,P,Train,Chmad,2
0045_02,Mars,F/10/P,,0045,02,F,10.0,P,Train,Chmad,2
0046_01,Earth,G/4/P,TRAPPIST-1e,0046,01,G,4.0,P,Test,Powery,3
0046_02,Earth,F/11/P,TRAPPIST-1e,0046,02,F,11.0,P,Test,Powery,3
0046_03,Earth,F/11/P,TRAPPIST-1e,0046,03,F,11.0,P,Test,Powery,3
0047_01,Europa,B/0/S,TRAPPIST-1e,0047,01,B,0.0,S,Test,Prucerod,3
0047_02,Europa,,TRAPPIST-1e,0047,02,,,,Test,Prucerod,3
0047_03,Europa,B/0/S,TRAPPIST-1e,0047,03,B,0.0,S,Test,,3
0048_01,Earth,G/5/S,TRAPPIST-1e,0048,01,G,5.0,S,Test,Deckerry,1
0049_01,Earth,E/1/P,TRAPPIST-1e,0049,01,E,1.0,P,Test,Flynney,1
0050_01,Earth,E/1/S,55 Cancri e,0050,01,E,1.0,S,Train,Lancis,1
0051_01,Earth,E/2/S,TRAPPIST-1e,0051,01,E,2.0,S,Train,Johnshines,1
0052_01,Earth,G/6/S,TRAPPIST-1e,0052,01,G,6.0,S,Train,Hubbarton,1
0053_01,Earth,F/11/S,TRAPPIST-1e,0053,01,F,11.0,S,Train,Hickerson,1
0054_01,Europa,B/4/P,55 Cancri e,0054,01,B,4.0,P,Test,Viouster,3
0054_02,Europa,B/4/P,55 Cancri e,0054,02,B,4.0,P,Test,Viouster,3
0054_03,Europa,B/4/P,55 Cancri e,0054,03,B,4.0,P,Test,Viouster,3
0055_01,Earth,G/5/P,TRAPPIST-1e,0055,01,G,5.0,P,Test,Frederry,1
0056_01,Europa,A/1/S,TRAPPIST-1e,0056,01,A,1.0,S,Train,Tractive,3
0056_02,Europa,A/1/S,TRAPPIST-1e,0056,02,A,1.0,S,Train,Tractive,3
0056_03,Europa,A/1/S,TRAPPIST-1e,0056,03,A,1.0,S,Train,Tractive,3
0057_01,Europa,C/1/P,55 Cancri e,0057,01,C,1.0,P,Test,Windend,1
0058_01,Earth,G/7/S,PSO J318.5-22,0058,01,G,7.0,S,Train,Ayalazquez,1
0059_01,Earth,E/2/P,TRAPPIST-1e,0059,01,E,2.0,P,Test,Carvis,1
0060_01,Earth,F/12/P,TRAPPIST-1e,0060,01,F,12.0,P,Test,Ashipeck,1
0061_01,Earth,F/12/S,TRAPPIST-1e,0061,01,F,12.0,S,Train,Salez,1
0062_01,Earth,F/13/S,TRAPPIST-1e,0062,01,F,13.0,S,Train,Greeves,1
0063_01,Earth,G/8/S,55 Cancri e,0063,01,G,8.0,S,Test,Daughessey,1
0064_01,Mars,F/14/S,TRAPPIST-1e,0064,01,F,14.0,S,Train,,2
0064_02,Mars,E/3/S,TRAPPIST-1e,0064,02,E,3.0,S,Train,Keen,2
0065_01,Earth,G/9/S,TRAPPIST-1e,0065,01,G,9.0,S,Test,Rushorney,1
0066_01,Earth,G/6/P,TRAPPIST-1e,0066,01,G,6.0,P,Train,Pecketton,1
0067_01,Earth,G/10/S,PSO J318.5-22,0067,01,G,10.0,S,Train,Leeves,3
0067_02,Earth,G/10/S,TRAPPIST-1e,0067,02,G,10.0,S,Train,Leeves,3
0067_03,Earth,F/15/S,55 Cancri e,0067,03,F,15.0,S,Train,Leeves,3
0068_01,Mars,E/4/S,TRAPPIST-1e,0068,01,E,4.0,S,Train,Binie,1
0069_01,Earth,F/16/S,TRAPPIST-1e,0069,01,F,16.0,S,Train,,1
0070_01,Earth,F/13/P,TRAPPIST-1e,0070,01,F,13.0,P,Train,Brighttt,1
0071_01,Earth,F/14/P,TRAPPIST-1e,0071,01,F,14.0,P,Train,Dillines,1
0072_01,Earth,F/17/S,TRAPPIST-1e,0072,01,F,17.0,S,Train,Brantuarez,1
0073_01,Mars,D/3/P,PSO J318.5-22,0073,01,D,3.0,P,Train,Make,1
0074_01,Europa,C/3/S,TRAPPIST-1e,0074,01,C,3.0,S,Train,Mostedry,1
0075_01,Earth,G/11/S,TRAPPIST-1e,0075,01,G,11.0,S,Test,Jimes,1
0076_01,Mars,F/18/S,TRAPPIST-1e,0076,01,F,18.0,S,Train,Dal,1
0077_01,Mars,F/15/P,TRAPPIST-1e,0077,01,F,15.0,P,Train,Blité,1
0078_01,Europa,C/4/S,TRAPPIST-1e,0078,01,C,4.0,S,Train,Pokerheed,1
0079_01,Earth,G/12/S,TRAPPIST-1e,0079,01,G,12.0,S,Test,Sullones,1
0080_01,Earth,G/7/P,TRAPPIST-1e,0080,01,G,7.0,P,Test,Llobsoney,1
0081_01,Earth,G/13/S,TRAPPIST-1e,0081,01,G,13.0,S,Train,Vinozarks,1
0082_01,Mars,F/16/P,TRAPPIST-1e,0082,01,F,16.0,P,Train,Datte,3
0082_02,Mars,F/16/P,TRAPPIST-1e,0082,02,F,16.0,P,Train,Datte,3
0082_03,Mars,F/16/P,TRAPPIST-1e,0082,03,F,16.0,P,Train,,3
0083_01,Earth,G/8/P,TRAPPIST-1e,0083,01,G,8.0,P,Test,Barris,1
0084_01,Earth,G/14/S,TRAPPIST-1e,0084,01,G,14.0,S,Train,Coopezmaney,1
0085_01,Europa,C/5/S,TRAPPIST-1e,0085,01,C,5.0,S,Train,Ellcefulve,1
0086_01,Earth,F/17/P,TRAPPIST-1e,0086,01,F,17.0,P,Train,Kinson,1
0087_01,Earth,E/3/P,TRAPPIST-1e,0087,01,E,3.0,P,Test,Jarvey,1
0088_01,Mars,E/5/S,PSO J318.5-22,0088,01,E,5.0,S,Train,Sacre,1
0089_01,Mars,F/19/S,TRAPPIST-1e,0089,01,F,19.0,S,Test,Cha,1
0090_01,Earth,G/15/S,TRAPPIST-1e,0090,01,G,15.0,S,Train,Santry,1
0091_01,Earth,G/16/S,TRAPPIST-1e,0091,01,G,16.0,S,Train,Yorkland,2
0091_02,Earth,F/20/S,TRAPPIST-1e,0091,02,F,20.0,S,Train,Yorkland,2
0092_01,Earth,G/9/P,TRAPPIST-1e,0092,01,G,9.0,P,Train,Dunnisey,3
0092_02,Earth,G/9/P,TRAPPIST-1e,0092,02,G,9.0,P,Train,Hewson,3
0092_03,Earth,G/9/P,TRAPPIST-1e,0092,03,G,9.0,P,Train,Hewson,3
0093_01,Earth,G/10/P,TRAPPIST-1e,0093,01,G,10.0,P,Test,Dukertyler,1
0094_01,Earth,G/17/S,TRAPPIST-1e,0094,01,G,17.0,S,Test,Santantines,2
0094_02,Earth,F/21/S,TRAPPIST-1e,0094,02,F,21.0,S,Test,Santantines,2
0095_01,Earth,F/18/P,PSO J318.5-22,0095,01,F,18.0,P,Test,Benderez,1
0096_01,Earth,F/22/S,PSO J318.5-22,0096,01,F,22.0,S,Test,Swanardy,1
0097_01,Europa,A/2/S,TRAPPIST-1e,0097,01,A,2.0,S,Train,Fictful,1
0098_01,Earth,G/11/P,TRAPPIST-1e,0098,01,G,11.0,P,Train,Carezquez,2
0098_02,Earth,G/11/P,TRAPPIST-1e,0098,02,G,11.0,P,Train,Carezquez,2
0099_01,Earth,F/19/P,PSO J318.5-22,0099,01,F,19.0,P,Train,Leetersoney,2
0099_02,Earth,G/12/P,TRAPPIST-1e,0099,02,G,12.0,P,Train,Connelson,2
0100_01,Earth,G/13/P,TRAPPIST-1e,0100,01,G,13.0,P,Test,Cochrisons,2
0100_02,Earth,G/13/P,TRAPPIST-1e,0100,02,G,13.0,P,Test,Cochrisons,2
0101_01,Mars,,TRAPPIST-1e,0101,01,,,,Train,Trad,1
0102_01,Earth,F/23/S,TRAPPIST-1e,0102,01,F,23.0,S,Train,Holson,1
0103_01,Earth,F/24/S,TRAPPIST-1e,0103,01,F,24.0,S,Train,Mclainez,3
0103_02,Earth,G/18/S,55 Cancri e,0103,02,G,18.0,S,Train,Mclainez,3
0103_03,Earth,G/18/S,TRAPPIST-1e,0103,03,G,18.0,S,Train,Mclainez,3
0104_01,Earth,F/25/S,TRAPPIST-1e,0104,01,F,25.0,S,Test,Rochan,1
0105_01,Earth,F/21/P,TRAPPIST-1e,0105,01,F,21.0,P,Train,Cleachrand,1
0106_01,Earth,F/26/S,TRAPPIST-1e,0106,01,F,26.0,S,Test,Puckenton,1
0107_01,Mars,D/2/S,TRAPPIST-1e,0107,01,D,2.0,S,Train,Hart,1
0108_01,Earth,G/19/S,TRAPPIST-1e,0108,01,G,19.0,S,Train,Handertiz,3
0108_02,Earth,G/19/S,TRAPPIST-1e,0108,02,G,19.0,S,Train,,3
0108_03,Earth,G/19/S,TRAPPIST-1e,0108,03,G,19.0,S,Train,Handertiz,3
0109_01,Earth,F/22/P,TRAPPIST-1e,0109,01,F,22.0,P,Test,Wolferton,1
0110_01,Europa,,TRAPPIST-1e,0110,01,,,,Train,Aloubtled,4
0110_02,Europa,B/5/P,TRAPPIST-1e,0110,02,B,5.0,P,Train,Bootious,4
0110_03,Europa,B/5/P,TRAPPIST-1e,0110,03,B,5.0,P,Train,Aloubtled,4
0110_04,Europa,B/5/P,TRAPPIST-1e,0110,04,B,5.0,P,Train,Aloubtled,4
0111_01,Europa,E/6/S,TRAPPIST-1e,0111,01,E,6.0,S,Train,Supred,1
0112_01,Europa,B/1/S,55 Cancri e,0112,01,B,1.0,S,Train,Cowtale,1
0113_01,Earth,F/23/P,TRAPPIST-1e,0113,01,F,23.0,P,Train,Carvis,1
0114_01,Earth,G/20/S,TRAPPIST-1e,0114,01,G,20.0,S,Train,Beckerson,1
0115_01,Mars,F/24/P,TRAPPIST-1e,0115,01,F,24.0,P,Train,Pead,1
0116_01,Europa,D/4/P,TRAPPIST-1e,0116,01,D,4.0,P,Train,Suptive,1
0117_01,Earth,E/4/P,PSO J318.5-22,0117,01,E,4.0,P,Test,Ewiseston,1
0118_01,Earth,G/14/P,TRAPPIST-1e,0118,01,G,14.0,P,Test,Moodmandez,1
0119_01,Europa,A/0/P,TRAPPIST-1e,0119,01,A,0.0,P,Train,Coning,2
0119_02,Europa,A/0/P,TRAPPIST-1e,0119,02,A,0.0,P,Train,Coning,2
0120_01,Mars,F/25/P,TRAPPIST-1e,0120,01,F,25.0,P,Train,Sacre,1
0121_01,Earth,F/26/P,TRAPPIST-1e,0121,01,F,26.0,P,Test,Mayson,1
0122_01,Earth,G/21/S,TRAPPIST-1e,0122,01,G,21.0,S,Train,Hayder,1
0123_01,Earth,F/27/P,TRAPPIST-1e,0123,01,F,27.0,P,Train,Fielson,1
0124_01,Earth,G/15/P,55 Cancri e,0124,01,G,15.0,P,Test,Camerrison,1
0125_01,Europa,B/6/P,55 Cancri e,0125,01,B,6.0,P,Test,Fulatorly,2
0125_02,Europa,B/6/P,TRAPPIST-1e,0125,02,B,6.0,P,Test,Fulatorly,2
0126_01,Mars,F/27/S,TRAPPIST-1e,0126,01,F,27.0,S,Train,Mish,1
0127_01,Mars,E/7/S,TRAPPIST-1e,0127,01,E,7.0,S,Train,Mesty,1
0128_01,Mars,D/3/S,TRAPPIST-1e,0128,01,D,3.0,S,Train,Fles,2
0128_02,Mars,E/8/S,TRAPPIST-1e,0128,02,E,8.0,S,Train,Fles,2
0129_01,Earth,G/22/S,PSO J318.5-22,0129,01,G,22.0,S,Train,Fowles,1
0130_01,Earth,G/16/P,55 Cancri e,0130,01,G,16.0,P,Test,Gilesonston,1
0131_01,Earth,F/28/S,55 Cancri e,0131,01,F,28.0,S,Test,Simstravery,1
0132_01,Mars,D/4/S,55 Cancri e,0132,01,D,4.0,S,Test,Potte,1
0133_01,Mars,F/29/S,TRAPPIST-1e,0133,01,F,29.0,S,Train,Blie,2
0133_02,Mars,D/5/S,TRAPPIST-1e,0133,02,D,5.0,S,Train,Blie,2
0134_01,Earth,G/17/P,TRAPPIST-1e,0134,01,G,17.0,P,Train,Harmontry,1
0135_01,Earth,F/28/P,TRAPPIST-1e,0135,01,F,28.0,P,Test,Hammonton,1
0136_01,Earth,G/23/S,PSO J318.5-22,0136,01,G,23.0,S,Train,,1
0137_01,Earth,G/24/S,TRAPPIST-1e,0137,01,G,24.0,S,Test,Harry,1
0138_01,Earth,G/18/P,TRAPPIST-1e,0138,01,G,18.0,P,Train,Gambs,2
0138_02,Earth,E/5/P,,0138,02,E,5.0,P,Train,Gambs,2
0139_01,Europa,C/6/S,55 Cancri e,0139,01,C,6.0,S,Train,Myling,1
0140_01,Earth,G/19/P,TRAPPIST-1e,0140,01,G,19.0,P,Train,Mejiaddox,2
0140_02,Earth,F/29/P,TRAPPIST-1e,0140,02,F,29.0,P,Train,Whitakers,2
0141_01,Mars,F/30/P,TRAPPIST-1e,0141,01,F,30.0,P,Train,Harte,1
0142_01,Mars,F/30/S,TRAPPIST-1e,0142,01,F,30.0,S,Test,Buth,3
0142_02,Mars,F/30/S,TRAPPIST-1e,0142,02,F,30.0,S,Test,Buth,3
0142_03,Mars,F/30/S,TRAPPIST-1e,0142,03,F,30.0,S,Test,Buth,3
0143_01,Europa,C/2/P,55 Cancri e,0143,01,C,2.0,P,Test,Unloweedic,1
0144_01,Earth,F/31/S,TRAPPIST-1e,0144,01,F,31.0,S,Train,Dayers,1
0145_01,Earth,E/6/P,TRAPPIST-1e,0145,01,E,6.0,P,Test,Hodes,1
0146_01,Earth,G/25/S,TRAPPIST-1e,0146,01,G,25.0,S,Train,Wolferguson,1
0147_01,Earth,G/26/S,TRAPPIST-1e,0147,01,G,26.0,S,Train,Hubbarrison,1
0148_01,Mars,F/31/P,TRAPPIST-1e,0148,01,F,31.0,P,Train,Pashe,1
0149_01,Earth,G/27/S,55 Cancri e,0149,01,G,27.0,S,Train,Hubbarrison,1
0150_01,Europa,B/7/P,TRAPPIST-1e,0150,01,B,7.0,P,Test,Slowatic,2
0150_02,Europa,B/7/P,TRAPPIST-1e,0150,02,B,7.0,P,Test,Slowatic,2
0151_01,Earth,G/20/P,55 Cancri e,0151,01,G,20.0,P,Train,Simson,1
0152_01,Earth,F/32/P,,0152,01,F,32.0,P,Train,Estron,1
0153_01,Earth,F/32/S,TRAPPIST-1e,0153,01,F,32.0,S,Test,Meleon,1
0154_01,Earth,G/21/P,PSO J318.5-22,0154,01,G,21.0,P,Test,Brenney,1
0155_01,Mars,F/33/P,TRAPPIST-1e,0155,01,F,33.0,P,Test,Harta,1
0156_01,Mars,F/34/P,TRAPPIST-1e,0156,01,F,34.0,P,Test,Upead,1
0157_01,Europa,A/1/P,TRAPPIST-1e,0157,01,A,1.0,P,Test,Fulazy,1
0158_01,Earth,E/9/S,55 Cancri e,0158,01,E,9.0,S,Test,Jacobbinson,2
0158_02,Earth,F/33/S,TRAPPIST-1e,0158,02,F,33.0,S,Test,Jacobbinson,2
0159_01,Earth,F/34/S,TRAPPIST-1e,0159,01,F,34.0,S,Test,Irwines,1
0160_01,Earth,G/22/P,TRAPPIST-1e,0160,01,G,22.0,P,Train,Atkinney,1
0161_01,Earth,F/35/P,55 Cancri e,0161,01,F,35.0,P,Test,Donson,1
0162_01,Mars,F/36/P,55 Cancri e,0162,01,F,36.0,P,Test,Ble,1
0163_01,Europa,B/8/P,TRAPPIST-1e,0163,01,B,8.0,P,Train,Hetforhaft,2
0163_02,Europa,B/8/P,TRAPPIST-1e,0163,02,B,8.0,P,Train,Hetforhaft,2
0164_01,Earth,G/28/S,TRAPPIST-1e,0164,01,G,28.0,S,Train,Hutchinton,2
0164_02,Earth,G/28/S,PSO J318.5-22,0164,02,G,28.0,S,Train,Hutchinton,2
0165_01,Mars,F/37/P,TRAPPIST-1e,0165,01,F,37.0,P,Train,Anche,1
0166_01,Earth,G/29/S,TRAPPIST-1e,0166,01,G,29.0,S,Test,Rocholton,1
0167_01,Mars,F/35/S,TRAPPIST-1e,0167,01,F,35.0,S,Train,Floaf,2
0167_02,Mars,F/35/S,TRAPPIST-1e,0167,02,F,35.0,S,Train,Floaf,2
0168_01,Europa,C/7/S,TRAPPIST-1e,0168,01,C,7.0,S,Test,Oradly,1
0169_01,Earth,G/23/P,TRAPPIST-1e,0169,01,G,23.0,P,Train,Fisherry,1
0170_01,Earth,E/10/S,TRAPPIST-1e,0170,01,E,10.0,S,Train,Mcmahoney,1
0171_01,Earth,G/30/S,PSO J318.5-22,0171,01,G,30.0,S,Train,Gordanieves,1
0172_01,Earth,G/24/P,TRAPPIST-1e,0172,01,G,24.0,P,Train,Johnshines,1
0173_01,Earth,E/11/S,TRAPPIST-1e,0173,01,E,11.0,S,Train,Grifford,1
0174_01,Earth,F/38/P,55 Cancri e,0174,01,F,38.0,P,Train,Lambles,1
0175_01,Earth,G/25/P,TRAPPIST-1e,0175,01,G,25.0,P,Test,Benney,5
0175_02,Earth,G/25/P,55 Cancri e,0175,02,G,25.0,P,Test,Benney,5
0175_03,Earth,G/25/P,TRAPPIST-1e,0175,03,G,25.0,P,Test,Benney,5
0175_04,Earth,G/25/P,TRAPPIST-1e,0175,04,G,25.0,P,Test,Benney,5
0175_05,Earth,G/25/P,TRAPPIST-1e,0175,05,G,25.0,P,Test,Benney,5
0176_01,Earth,F/39/P,PSO J318.5-22,0176,01,F,39.0,P,Test,Stannondez,1
0177_01,Europa,B/2/S,TRAPPIST-1e,0177,01,B,2.0,S,Train,Iniouser,1
0178_01,Mars,D/6/S,TRAPPIST-1e,0178,01,D,6.0,S,Train,Knik,1
0179_01,Earth,G/26/P,TRAPPIST-1e,0179,01,G,26.0,P,Train,Webstephrey,3
0179_02,Earth,G/26/P,TRAPPIST-1e,0179,02,G,26.0,P,Train,Webstephrey,3
0179_03,Earth,G/26/P,TRAPPIST-1e,0179,03,G,26.0,P,Train,Webstephrey,3
0180_01,Earth,F/40/P,TRAPPIST-1e,0180,01,F,40.0,P,Test,Kellynn,1
0181_01,Earth,G/27/P,TRAPPIST-1e,0181,01,G,27.0,P,Train,Brighttt,1
0182_01,Europa,C/3/P,TRAPPIST-1e,0182,01,C,3.0,P,Train,Disight,1
0183_01,Earth,F/36/S,TRAPPIST-1e,0183,01,F,36.0,S,Train,Weaves,1
0184_01,Mars,E/7/P,TRAPPIST-1e,0184,01,E,7.0,P,Test,Gerry,1
0185_01,Mars,F/37/S,TRAPPIST-1e,0185,01,F,37.0,S,Test,Cooki,1
0186_01,Earth,G/28/P,TRAPPIST-1e,0186,01,G,28.0,P,Train,Shephendry,1
0187_01,Mars,F/38/S,55 Cancri e,0187,01,F,38.0,S,Test,Kidne,1
0188_01,Earth,G/31/S,TRAPPIST-1e,0188,01,G,31.0,S,Train,Romez,1
0189_01,Earth,E/8/P,55 Cancri e,0189,01,E,8.0,P,Train,Booters,1
0190_01,Earth,G/32/S,55 Cancri e,0190,01,G,32.0,S,Train,,1
0191_01,Earth,F/39/S,TRAPPIST-1e,0191,01,F,39.0,S,Test,Currisones,1
0192_01,Earth,G/29/P,TRAPPIST-1e,0192,01,G,29.0,P,Train,Adavisons,3
0192_02,Earth,G/29/P,TRAPPIST-1e,0192,02,G,29.0,P,Train,Adavisons,3
0192_03,Earth,G/29/P,TRAPPIST-1e,0192,03,G,29.0,P,Train,Adavisons,3
0193_01,Mars,F/41/P,TRAPPIST-1e,0193,01,F,41.0,P,Train,Raf,3
0193_02,Mars,F/41/P,TRAPPIST-1e,0193,02,F,41.0,P,Train,Raf,3
0193_03,Mars,F/41/P,TRAPPIST-1e,0193,03,F,41.0,P,Train,Raf,3
0194_01,Europa,C/4/P,TRAPPIST-1e,0194,01,C,4.0,P,Test,Extraly,3
0194_02,Europa,C/4/P,55 Cancri e,0194,02,C,4.0,P,Test,Extraly,3
0194_03,Europa,C/4/P,55 Cancri e,0194,03,C,4.0,P,Test,Extraly,3
0195_01,Mars,F/42/P,TRAPPIST-1e,0195,01,F,42.0,P,Train,Floaf,1
0196_01,Mars,D/5/P,PSO J318.5-22,0196,01,D,5.0,P,Train,Emead,1
0197_01,Europa,C/5/P,TRAPPIST-1e,0197,01,C,5.0,P,Train,Dissper,1
0198_01,Earth,G/30/P,PSO J318.5-22,0198,01,G,30.0,P,Train,Cookson,1
0199_01,Earth,G/33/S,TRAPPIST-1e,0199,01,G,33.0,S,Train,Morrows,1
0200_01,Earth,G/31/P,TRAPPIST-1e,0200,01,G,31.0,P,Train,Colomonson,1
0201_01,Europa,B/3/S,TRAPPIST-1e,0201,01,B,3.0,S,Train,Bacistion,2
0201_02,Europa,B/3/S,TRAPPIST-1e,0201,02,B,3.0,S,Train,Bacistion,2
0202_01,Europa,B/9/P,55 Cancri e,0202,01,B,9.0,P,Train,Embleng,2
0202_02,Europa,A/2/P,55 Cancri e,0202,02,A,2.0,P,Train,Embleng,2
0203_01,Europa,C/8/S,TRAPPIST-1e,0203,01,C,8.0,S,Train,Heateele,1
0204_01,Earth,F/43/P,PSO J318.5-22,0204,01,F,43.0,P,Test,Goldendrice,1
0205_01,Earth,G/34/S,TRAPPIST-1e,0205,01,G,34.0,S,Train,Oneiles,1
0206_01,Europa,C/9/S,55 Cancri e,0206,01,C,9.0,S,Train,Brugashed,1
0207_01,Earth,G/32/P,PSO J318.5-22,0207,01,G,32.0,P,Train,Mcfaddennon,1
0208_01,Earth,G/33/P,TRAPPIST-1e,0208,01,G,33.0,P,Test,Vales,1
0209_01,Europa,B/10/P,TRAPPIST-1e,0209,01,B,10.0,P,Test,Clindy,1
0210_01,Europa,D/6/P,55 Cancri e,0210,01,D,6.0,P,Train,Inicont,1
0211_01,Mars,F/44/P,TRAPPIST-1e,0211,01,F,44.0,P,Train,Appie,3
0211_02,Mars,F/44/P,TRAPPIST-1e,0211,02,F,44.0,P,Train,Appie,3
0211_03,Mars,F/44/P,TRAPPIST-1e,0211,03,F,44.0,P,Train,Date,3
0212_01,Earth,E/9/P,TRAPPIST-1e,0212,01,E,9.0,P,Train,Workmans,2
0212_02,Earth,F/45/P,TRAPPIST-1e,0212,02,F,45.0,P,Train,Workmans,2
